id,key,value,type
8915288,ref,US 101,regular
8915288,cfcc,A41;A25,tiger
8915288,county,"San Francisco, CA;San Francisco, CA",tiger
8915288,name_base,United States Highway 101,tiger
8915288,name_base_1,13th,tiger
8915288,name_type_1,St,tiger
8915415,bicycle,no,regular
8915415,bridge,yes,regular
8915415,street,Fourth Street,destination
8915415,highway,motorway_link,regular
8915415,ref,2,junction
8915415,lanes,2,regular
8915415,layer,1,regular
8915415,oneway,yes,regular
8915415,cfcc,A63,tiger
8915415,county,"San Francisco, CA",tiger
8915452,access,private,regular
8915452,highway,service,regular
8915452,cfcc,A41,tiger
8915452,county,"San Francisco, CA",tiger
8915464,highway,service,regular
8915464,service,alley,regular
8915464,cfcc,A41,tiger
8915464,county,"San Francisco, CA",tiger
8915464,reviewed,no,tiger
8915464,separated,no,tiger
8915464,source,tiger_import_dch_v0.6_20070809,tiger
8915464,tlid,192292819,tiger
8915464,upload_uuid,bulk_upload.pl-4ddcfcfe-e298-4ca3-a789-35779f3bf445,tiger
8915520,highway,service,regular
8915520,service,alley,regular
8915520,sidewalk,right,regular
8915520,cfcc,A41,tiger
8915520,county,"San Francisco, CA",tiger
8915520,reviewed,yes,tiger
8915522,highway,service,regular
8915522,sidewalk,right,regular
8915522,cfcc,A41,tiger
8915522,county,"San Francisco, CA",tiger
8915522,reviewed,no,tiger
8915588,bicycle,no,regular
8915588,destination,San Jose,regular
8915588,ref,US 101 South;I 80 West,destination
8915588,highway,motorway_link,regular
8915588,lanes,2,regular
8915588,oneway,yes,regular
8915588,cfcc,A63,tiger
8915588,county,"San Francisco, CA",tiger
8915645,highway,service,regular
8915645,service,alley,regular
8915645,cfcc,A41,tiger
8915645,county,"San Francisco, CA",tiger
8915645,reviewed,yes,tiger
8915645,separated,no,tiger
8915645,source,tiger_import_dch_v0.6_20070809,tiger
8915645,tlid,192289485,tiger
8915645,upload_uuid,bulk_upload.pl-4ddcfcfe-e298-4ca3-a789-35779f3bf445,tiger
8915677,NHS,STRAHNET,regular
8915677,bicycle,no,regular
8915677,destination,Oakland;San Jose,regular
8915677,ref,US 101 South;I 80 East,destination
8915677,highway,motorway_link,regular
8915677,lanes,2,regular
8915677,maxspeed,20 mph,regular
8915677,oneway,yes,regular
8915677,ref,US 101,regular
8915677,cfcc,A41,tiger
8915677,county,"San Francisco, CA",tiger
8915677,lanes,through|through,turn
8915704,bicycle,no,regular
8915704,destination,9th Street;Civic Center,regular
8915704,highway,motorway_link,regular
8915704,lanes,2,regular
8915704,oneway,yes,regular
8915704,cfcc,A63,tiger
8915704,county,"San Francisco, CA",tiger
8915750,highway,primary,regular
8915750,lanes,3,regular
8915750,name,Starr King Way,regular
8915750,oneway,yes,regular
8915750,sidewalk,both,regular
8915750,surface,asphalt,regular
8915750,cfcc,A41,tiger
8915750,county,"San Francisco, CA",tiger
8915750,name_base,Starr King,tiger
8915750,name_type,Way,tiger
8915752,highway,residential,regular
8915752,name,Lansing Street,regular
8915752,oneway,yes,regular
8915752,cfcc,A41,tiger
8915752,county,"San Francisco, CA",tiger
8915752,name_base,Lansing,tiger
8915752,name_type,St,tiger
8915759,highway,residential,regular
8915759,name,Fargo Place,regular
8915759,cfcc,A41,tiger
8915759,county,"San Francisco, CA",tiger
8915759,name_base,Fargo,tiger
8915759,name_type,Pl,tiger
8915760,highway,service,regular
8915760,name,Vinton Court,regular
8915760,service,alley,regular
8915760,cfcc,A41,tiger
8915760,county,"San Francisco, CA",tiger
8915760,name_base,Vinton,tiger
8915760,name_type,Ct,tiger
8915760,reviewed,no,tiger
8915763,highway,service,regular
8915763,name,Fulton Street,regular
8915763,sidewalk,separate,regular
8915763,cfcc,A41,tiger
8915763,county,"San Francisco, CA",tiger
8915763,name_base,Fulton,tiger
8915763,name_type,St,tiger
8915796,cycleway,lane,regular
8915796,highway,tertiary,regular
8915796,lanes,2,regular
8915796,name,Fulton Street,regular
8915796,surface,asphalt,regular
8915796,cfcc,A41,tiger
8915796,county,"San Francisco, CA",tiger
8915796,name_base,Fulton,tiger
8915796,name_type,St,tiger
8915954,access,private,regular
8915954,highway,footway,regular
8915954,name,Mabel Alley,regular
8915954,cfcc,A73,tiger
8915954,county,"San Francisco, CA",tiger
8915954,name_base,Mabel,tiger
8915954,name_type,Aly,tiger
8915986,highway,residential,regular
8915986,name,Colton Street,regular
8915986,cfcc,A41,tiger
8915986,county,"San Francisco, CA",tiger
8915986,name_base,Colton,tiger
8915986,name_type,St,tiger
8916048,highway,residential,regular
8916048,name,Isis Street,regular
8916048,cfcc,A41,tiger
8916048,county,"San Francisco, CA",tiger
8916048,name_base,Isis,tiger
8916048,name_type,St,tiger
8916048,reviewed,no,tiger
8916159,highway,service,regular
8916159,name,Elwood Street,regular
8916159,cfcc,A41,tiger
8916159,county,"San Francisco, CA",tiger
8916159,name_base,Elwood,tiger
8916159,name_type,St,tiger
8916165,highway,secondary,regular
8916165,lanes,4,regular
8916165,maxspeed,25 mph,regular
8916165,name,Bryant Street,regular
8916165,oneway,yes,regular
8916165,cfcc,A41,tiger
8916165,county,"San Francisco, CA",tiger
8916165,name_base,Bryant,tiger
8916165,name_type,St,tiger
8916178,highway,service,regular
8916178,name,Malden Alley,regular
8916178,cfcc,A41,tiger
8916178,county,"San Francisco, CA",tiger
8916178,name_base,Malden,tiger
8916178,name_type,Aly,tiger
8916181,highway,service,regular
8916181,name,Chelsea Place,regular
8916181,service,alley,regular
8916181,cfcc,A41,tiger
8916181,county,"San Francisco, CA",tiger
8916181,name_base,Chelsea,tiger
8916181,name_type,Pl,tiger
8916183,highway,service,regular
8916183,name,Welsh Street,regular
8916183,oneway,yes,regular
8916183,service,alley,regular
8916183,cfcc,A41,tiger
8916183,county,"San Francisco, CA",tiger
8916183,name_base,Welsh,tiger
8916183,name_type,St,tiger
8916184,highway,residential,regular
8916184,name,Welsh Street,regular
8916184,cfcc,A41,tiger
8916184,county,"San Francisco, CA",tiger
8916184,name_base,Welsh,tiger
8916184,name_type,St,tiger
8916193,highway,service,regular
8916193,name,Lusk Street,regular
8916193,service,parking_aisle,regular
8916193,cfcc,A41,tiger
8916193,county,"San Francisco, CA",tiger
8916193,name_base,Lusk,tiger
8916193,name_type,St,tiger
8916193,reviewed,yes,tiger
8916215,highway,residential,regular
8916215,name,Gilbert Street,regular
8916215,oneway,yes,regular
8916215,cfcc,A41,tiger
8916215,county,"San Francisco, CA",tiger
8916215,name_base,Gilbert,tiger
8916215,name_type,St,tiger
8916215,reviewed,no,tiger
8916223,highway,service,regular
8916223,lanes,1,regular
8916223,name,Spring Street,regular
8916223,oneway,yes,regular
8916223,service,alley,regular
8916223,cfcc,A41,tiger
8916223,county,"San Francisco, CA",tiger
8916223,name_base,Spring,tiger
8916223,name_type,St,tiger
8916232,highway,residential,regular
8916232,name,Clinton Park,regular
8916232,oneway,yes,regular
8916232,cfcc,A41,tiger
8916232,county,"San Francisco, CA",tiger
8916232,name_base,Clinton Park,tiger
8916233,highway,service,regular
8916233,name,Sabin Place,regular
8916233,old_name,Salina Place,regular
8916233,service,alley,regular
8916233,cfcc,A41,tiger
8916233,county,"San Francisco, CA",tiger
8916233,name_base,Sabin,tiger
8916233,name_type,Pl,tiger
8916246,highway,residential,regular
8916246,name,Pearl Street,regular
8916246,oneway,yes,regular
8916246,cfcc,A41,tiger
8916246,county,"San Francisco, CA",tiger
8916246,name_base,Pearl,tiger
8916246,name_type,St,tiger
8916248,highway,service,regular
8916248,name,Ophir Alley,regular
8916248,cfcc,A41,tiger
8916248,county,"San Francisco, CA",tiger
8916248,name_base,Ophir,tiger
8916248,name_type,Aly,tiger
8916248,reviewed,no,tiger
8916266,highway,pedestrian,regular
8916266,name,Shaw Alley,regular
8916266,service,alley,regular
8916266,surface,paved,regular
8916266,cfcc,A41,tiger
8916266,county,"San Francisco, CA",tiger
8916266,name_base,Shaw,tiger
8916266,name_type,Aly,tiger
8916285,highway,residential,regular
8916285,name,Park Hill Avenue,regular
8916285,cfcc,A41,tiger
8916285,county,"San Francisco, CA",tiger
8916285,name_base,Park Hill,tiger
8916285,name_type,Ave,tiger
8916291,highway,service,regular
8916291,name,Moss Street,regular
8916291,oneway,yes,regular
8916291,service,alley,regular
8916291,cfcc,A41,tiger
8916291,county,"San Francisco, CA",tiger
8916291,name_base,Moss,tiger
8916291,name_type,St,tiger
8916327,highway,tertiary,regular
8916327,maxspeed,25 mph,regular
8916327,name,Dolores Street,regular
8916327,oneway,yes,regular
8916327,sidewalk,no,regular
8916327,cfcc,A45,tiger
8916327,county,"San Francisco, CA",tiger
8916327,name_base,Dolores,tiger
8916327,name_type,St,tiger
8916338,highway,residential,regular
8916338,lanes,2,regular
8916338,name,Rhode Island Street,regular
8916338,oneway,no,regular
8916338,cfcc,A41,tiger
8916338,county,"San Francisco, CA",tiger
8916338,name_type,St,tiger
8916341,highway,residential,regular
8916341,name,Bernice Street,regular
8916341,cfcc,A41,tiger
8916341,county,"San Francisco, CA",tiger
8916341,name_base,Bernice,tiger
8916341,name_type,St,tiger
8916341,reviewed,no,tiger
8916345,highway,service,regular
8916345,name,Helen Place,regular
8916345,name_1,Helen Street,regular
8916345,service,alley,regular
8916345,cfcc,A41,tiger
8916345,county,"San Francisco, CA",tiger
8916345,name_base,Helen,tiger
8916345,name_base_1,Helen,tiger
8916345,name_type,Pl,tiger
8916345,name_type_1,St,tiger
8916351,highway,residential,regular
8916351,name,Beideman Street,regular
8916351,sidewalk,both,regular
8916351,cfcc,A41,tiger
8916351,county,"San Francisco, CA",tiger
8916351,name_base,Beideman,tiger
8916351,name_type,St,tiger
8916351,reviewed,no,tiger
8916375,highway,tertiary,regular
8916375,name,California Street,regular
8916375,cfcc,A41,tiger
8916375,county,"San Francisco, CA",tiger
8916375,name_base,California,tiger
8916375,name_type,St,tiger
8916415,highway,residential,regular
8916415,name,Treat Avenue,regular
8916415,sidewalk,both,regular
8916415,cfcc,A41,tiger
8916415,county,"San Francisco, CA",tiger
8916415,name_base,Treat,tiger
8916415,name_type,Ave,tiger
8916415,reviewed,no,tiger
8916444,highway,footway,regular
8916444,name,Phoenix Terrace,regular
8916444,cfcc,A41,tiger
8916444,county,"San Francisco, CA",tiger
8916444,name_base,Phoenix,tiger
8916444,name_type,Ter,tiger
8916444,reviewed,no,tiger
8916476,highway,service,regular
8916476,name,Doric Alley,regular
8916476,service,alley,regular
8916476,cfcc,A41,tiger
8916476,county,"San Francisco, CA",tiger
8916476,name_base,Doric,tiger
8916476,name_type,Aly,tiger
8916476,reviewed,no,tiger
8916478,highway,service,regular
8916478,name,Security Pacific Place,regular
8916478,cfcc,A41,tiger
8916478,county,"San Francisco, CA",tiger
8916478,name_base,Savings Union,tiger
8916478,name_type,Pl,tiger
8916478,reviewed,no,tiger
8916492,highway,service,regular
8916492,name,Garden Street,regular
8916492,service,alley,regular
8916492,cfcc,A41,tiger
8916492,county,"San Francisco, CA",tiger
8916492,name_base,Garden,tiger
8916492,name_type,St,tiger
8916498,highway,residential,regular
8916498,name,Washburn Street,regular
8916498,oneway,yes,regular
8916498,cfcc,A41,tiger
8916498,county,"San Francisco, CA",tiger
8916498,name_base,Washburn,tiger
8916498,name_type,St,tiger
8916500,highway,service,regular
8916500,name,Ada Court,regular
8916500,service,alley,regular
8916500,cfcc,A41,tiger
8916500,county,"San Francisco, CA",tiger
8916500,name_base,Ada,tiger
8916500,name_type,Ct,tiger
8916545,highway,service,regular
8916545,name,Leroy Place,regular
8916545,note,Vehicles over 10 feet not recommended,regular
8916545,service,alley,regular
8916545,cfcc,A41,tiger
8916545,county,"San Francisco, CA",tiger
8916545,name_base,Leroy,tiger
8916545,name_type,Pl,tiger
8916551,highway,residential,regular
8916551,name,South Park,regular
8916551,sidewalk,both,regular
8916551,cfcc,A41,tiger
8916551,county,"San Francisco, CA",tiger
8916551,name_base,Park,tiger
8916551,name_direction_prefix,S,tiger
8916551,name_type,Ave,tiger
8916553,highway,residential,regular
8916553,name,South Park,regular
8916553,oneway,yes,regular
8916553,sidewalk,right,regular
8916553,cfcc,A41,tiger
8916553,county,"San Francisco, CA",tiger
8916553,name_direction_prefix,S,tiger
8916553,name_type,Ave,tiger
8916562,highway,residential,regular
8916562,name,Belcher Street,regular
8916562,sidewalk,both,regular
8916562,cfcc,A41,tiger
8916562,county,"San Francisco, CA",tiger
8916562,name_base,Belcher,tiger
8916562,name_type,St,tiger
8916570,highway,service,regular
8916570,name,Burns Place,regular
8916570,service,alley,regular
8916570,cfcc,A41,tiger
8916570,county,"San Francisco, CA",tiger
8916570,name_base,Burns,tiger
8916570,name_type,Pl,tiger
8916580,highway,service,regular
8916580,name,Trader Vic Alley,regular
8916580,cfcc,A41,tiger
8916580,county,"San Francisco, CA",tiger
8916580,name_base,Trader Vic,tiger
8916580,name_type,Aly,tiger
8916580,reviewed,no,tiger
8916625,highway,footway,regular
8916625,name,Leona Terrace,regular
8916625,cfcc,A41,tiger
8916625,county,"San Francisco, CA",tiger
8916625,name_base,Leona,tiger
8916625,name_type,Ter,tiger
8916625,reviewed,no,tiger
8916662,highway,residential,regular
8916662,name,Broderick Street,regular
8916662,sidewalk,both,regular
8916662,cfcc,A41,tiger
8916662,county,"San Francisco, CA",tiger
8916662,name_base,Broderick,tiger
8916662,name_type,St,tiger
8916667,highway,residential,regular
8916667,name,Avery Street,regular
8916667,oneway,yes,regular
8916667,sidewalk,both,regular
8916667,cfcc,A41,tiger
8916667,county,"San Francisco, CA",tiger
8916667,name_base,Avery,tiger
8916667,name_type,St,tiger
8916667,reviewed,no,tiger
8916733,highway,service,regular
8916733,name,Vermehr Place,regular
8916733,service,alley,regular
8916733,cfcc,A41,tiger
8916733,county,"San Francisco, CA",tiger
8916733,name_base,Vermehr,tiger
8916733,name_type,Pl,tiger
8916759,highway,residential,regular
8916759,name,Walter Street,regular
8916759,cfcc,A41,tiger
8916759,county,"San Francisco, CA",tiger
8916759,name_base,Walter,tiger
8916759,name_type,St,tiger
8916788,highway,residential,regular
8916788,name,Oak Grove Street,regular
8916788,cfcc,A41,tiger
8916788,county,"San Francisco, CA",tiger
8916788,name_base,Oak Grove,tiger
8916788,name_type,St,tiger
8916792,cycleway,lane,regular
8916792,highway,secondary,regular
8916792,lcn_ref,23,regular
8916792,maxspeed,25 mph,regular
8916792,name,7th Street,regular
8916792,cfcc,A41,tiger
8916792,county,"San Francisco, CA",tiger
8916792,name_type,St,tiger
8916798,highway,residential,regular
8916798,lanes,2,regular
8916798,name,Alameda Street,regular
8916798,sidewalk,both,regular
8916798,cfcc,A41,tiger
8916798,county,"San Francisco, CA",tiger
8916798,name_type,St,tiger
8916805,foot,yes,regular
8916805,highway,footway,regular
8916805,name,Elim Street,regular
8916805,cfcc,A41,tiger
8916805,county,"San Francisco, CA",tiger
8916805,name_base,Elim,tiger
8916805,name_type,St,tiger
8916805,reviewed,no,tiger
8916826,highway,residential,regular
8916826,name,Lily Street,regular
8916826,oneway,yes,regular
8916826,cfcc,A41,tiger
8916826,county,"San Francisco, CA",tiger
8916826,name_base,Lily,tiger
8916826,name_type,St,tiger
8916857,highway,service,regular
8916857,name,John Street,regular
8916857,oneway,yes,regular
8916857,service,alley,regular
8916857,cfcc,A41,tiger
8916857,county,"San Francisco, CA",tiger
8916857,name_base,John,tiger
8916857,name_type,St,tiger
8916857,reviewed,no,tiger
8916865,alt_name,Adler Place,regular
8916865,highway,pedestrian,regular
8916865,name,Jack Kerouac Alley,regular
8916865,old_name,Adler Street,regular
8916865,oneway,yes,regular
8916865,cfcc,A41,tiger
8916865,county,"San Francisco, CA",tiger
8916865,name_base,Jack Kerouac,tiger
8916865,name_type,Aly,tiger
8916865,reviewed,yes,tiger
8916865,wikidata,Q3805604,regular
8916867,highway,primary,regular
8916867,lanes,4,regular
8916867,name,Montgomery Street,regular
8916867,oneway,yes,regular
8916867,surface,asphalt,regular
8916867,cfcc,A41,tiger
8916867,county,"San Francisco, CA",tiger
8916867,name_base,Montgomery,tiger
8916867,name_type,St,tiger
8916882,highway,residential,regular
8916882,name,Cushman Street,regular
8916882,oneway,yes,regular
8916882,cfcc,A41,tiger
8916882,county,"San Francisco, CA",tiger
8916882,name_base,Cushman,tiger
8916882,name_type,St,tiger
8916889,highway,service,regular
8916889,name,Hickory Street,regular
8916889,oneway,yes,regular
8916889,service,alley,regular
8916889,sidewalk,both,regular
8916889,cfcc,A41,tiger
8916889,county,"San Francisco, CA",tiger
8916889,name_type,St,tiger
8916902,highway,service,regular
8916902,name,Rowland Street,regular
8916902,cfcc,A41,tiger
8916902,county,"San Francisco, CA",tiger
8916902,name_base,Rowland,tiger
8916902,name_type,St,tiger
8916902,reviewed,no,tiger
8916922,right,lane,cycleway
8916922,highway,primary,regular
8916922,lanes,4,regular
8916922,backward,2,lanes
8916922,forward,2,lanes
8916922,lcn_ref,30,regular
8916922,maxspeed,25 mph,regular
8916922,name,Howard Street,regular
8916922,lanes:right,parallel,parking
8916922,sidewalk,both,regular
8916922,cfcc,A41,tiger
8916922,county,"San Francisco, CA",tiger
8916922,name_base,Howard,tiger
8916922,name_type,St,tiger
8916922,lanes:backward,left|right,turn
8916927,highway,service,regular
8916927,name,Jessie Street,regular
8916927,oneway,yes,regular
8916927,service,alley,regular
8916927,cfcc,A41,tiger
8916927,county,"San Francisco, CA",tiger
8916927,name_base,Jessie,tiger
8916927,name_type,St,tiger
8916927,reviewed,no,tiger
8916929,highway,service,regular
8916929,name,Jessie Street,regular
8916929,oneway,yes,regular
8916929,service,alley,regular
8916929,cfcc,A41,tiger
8916929,county,"San Francisco, CA",tiger
8916929,name_base,Jessie,tiger
8916929,name_type,St,tiger
8916930,highway,residential,regular
8916930,lanes,2,regular
8916930,name,Jessie Street,regular
8916930,surface,paved,regular
8916930,cfcc,A41,tiger
8916930,county,"San Francisco, CA",tiger
8916930,name_base,Jessie,tiger
8916930,name_type,St,tiger
8916931,highway,pedestrian,regular
8916931,name,Mint Plaza,regular
8916931,cfcc,A41,tiger
8916931,county,"San Francisco, CA",tiger
8916931,name_base,Jessie,tiger
8916931,name_type,St,tiger
8916932,foot,yes,regular
8916932,highway,residential,regular
8916932,name,Jessie Street,regular
8916932,oneway,yes,regular
8916932,cfcc,A41,tiger
8916932,county,"San Francisco, CA",tiger
8916932,name_base,Jessie,tiger
8916932,name_type,St,tiger
8916933,highway,service,regular
8916933,name,Jessie Street,regular
8916933,oneway,yes,regular
8916933,cfcc,A41,tiger
8916933,county,"San Francisco, CA",tiger
8916933,name_base,Jessie,tiger
8916933,name_type,St,tiger
8916934,highway,residential,regular
8916934,name,Jessie Street,regular
8916934,cfcc,A41,tiger
8916934,county,"San Francisco, CA",tiger
8916934,name_base,Jessie,tiger
8916934,name_type,St,tiger
8916935,highway,service,regular
8916935,name,Jessie Street,regular
8916935,oneway,yes,regular
8916935,service,alley,regular
8916935,cfcc,A41,tiger
8916935,county,"San Francisco, CA",tiger
8916935,name_base,Jessie,tiger
8916935,name_type,St,tiger
8916936,highway,service,regular
8916936,name,Halleck Street,regular
8916936,oneway,yes,regular
8916936,service,alley,regular
8916936,cfcc,A41,tiger
8916936,county,"San Francisco, CA",tiger
8916936,name_base,Halleck,tiger
8916936,name_type,St,tiger
8916957,highway,residential,regular
8916957,name,Glover Street,regular
8916957,note,Not signed as one way on the ground but I think it is supposed to be.,regular
8916957,oneway,yes,regular
8916957,cfcc,A41,tiger
8916957,county,"San Francisco, CA",tiger
8916957,name_base,Glover,tiger
8916957,name_type,St,tiger
8916962,highway,service,regular
8916962,name,Marcy Place,regular
8916962,cfcc,A41,tiger
8916962,county,"San Francisco, CA",tiger
8916962,name_base,Marcy,tiger
8916962,name_type,Pl,tiger
8916962,reviewed,no,tiger
8916967,alt_name,Sacramento Alley,regular
8916967,foot,yes,regular
8916967,highway,pedestrian,regular
8916967,name,Sacramento Street,regular
8916967,cfcc,A41,tiger
8916967,county,"San Francisco, CA",tiger
8916967,name_base,Sacramento,tiger
8916967,name_type,St,tiger
8916967,reviewed,no,tiger
8916975,highway,residential,regular
8916975,name,Brosnan Street,regular
8916975,oneway,yes,regular
8916975,cfcc,A41,tiger
8916975,county,"San Francisco, CA",tiger
8916975,name_base,Brosnan,tiger
8916975,name_type,St,tiger
8916990,highway,service,regular
8916990,name,Hallam Street,regular
8916990,service,alley,regular
8916990,cfcc,A41,tiger
8916990,county,"San Francisco, CA",tiger
8916990,name_base,Hallam,tiger
8916990,name_type,St,tiger
8917028,highway,residential,regular
8917028,name,Seymour Street,regular
8917028,sidewalk,both,regular
8917028,cfcc,A41,tiger
8917028,county,"San Francisco, CA",tiger
8917028,name_base,Seymour,tiger
8917028,name_type,St,tiger
8917030,highway,service,regular
8917030,name,Robert Kirk Lane,regular
8917030,service,alley,regular
8917030,cfcc,A41,tiger
8917030,county,"San Francisco, CA",tiger
8917030,name_base,Robert Kirk,tiger
8917030,name_type,Ln,tiger
8917030,reviewed,no,tiger
8917054,highway,service,regular
8917054,name,Gibb Street,regular
8917054,service,alley,regular
8917054,cfcc,A41,tiger
8917054,county,"San Francisco, CA",tiger
8917054,name_base,Gibb,tiger
8917054,name_type,St,tiger
8917054,reviewed,no,tiger
8917055,access,private,regular
8917055,highway,service,regular
8917055,name,Mulford Alley,regular
8917055,service,alley,regular
8917055,cfcc,A73,tiger
8917055,county,"San Francisco, CA",tiger
8917055,name_base,Mulford,tiger
8917055,name_type,Aly,tiger
8917055,reviewed,no,tiger
8917056,foot,yes,regular
8917056,highway,footway,regular
8917056,name,Quickstep Lane,regular
8917056,cfcc,A41,tiger
8917056,county,"San Francisco, CA",tiger
8917056,name_base,Quickstep,tiger
8917056,name_type,Ln,tiger
8917056,reviewed,no,tiger
8917071,highway,service,regular
8917071,name,Hobart Alley,regular
8917071,cfcc,A41,tiger
8917071,county,"San Francisco, CA",tiger
8917071,name_base,Hobart,tiger
8917071,name_type,Aly,tiger
8917071,reviewed,no,tiger
8917113,highway,residential,regular
8917113,name,San Bruno Avenue,regular
8917113,oneway,yes,regular
8917113,sidewalk,right,regular
8917113,cfcc,A41,tiger
8917113,county,"San Francisco, CA",tiger
8917113,name_base,San Bruno,tiger
8917113,name_type,Ave,tiger
8917138,highway,service,regular
8917138,name,Ritch Street,regular
8917138,oneway,yes,regular
8917138,service,alley,regular
8917138,cfcc,A41,tiger
8917138,county,"San Francisco, CA",tiger
8917138,name_base,Ritch,tiger
8917138,name_type,St,tiger
8917138,reviewed,no,tiger
8917140,highway,service,regular
8917140,name,Codman Place,regular
8917140,service,alley,regular
8917140,cfcc,A41,tiger
8917140,county,"San Francisco, CA",tiger
8917140,name_base,Codman,tiger
8917140,name_type,Pl,tiger
8917165,highway,service,regular
8917165,lanes,1,regular
8917165,name,Heron Street,regular
8917165,oneway,yes,regular
8917165,service,alley,regular
8917165,county,"San Francisco, CA",tiger
8917165,name_base,Heron,tiger
